Produk,Ulasan,Bintang
DualSense Wireless Controller / Monster Hunter Wilds Limited Edition,"Sesuai pesanan , pelayanan dan pengiriman cepat",5
"Nintendo Switch 2 Bonus Game Mario Kart World (FISIK) Singapore Set switch 2 Nintendo 2 Nintendo Switch2 Console Nintendo Switch 2 Nintendo 2 Switch 2 Switch2 NS2 NSW2  Layar 7.9"" 1080p & Dock 4K untuk Pengalaman Gaming Terbaik",Bagussss bangettt,5
PS5 SpiderMan 2 / Marvels Spider Man 2 (R3/English),"Barang diterima dalam keadaan baik, packing super aman, tapi pengirimannya agak lama karena ada masalah di ekspedisinya, terima kasih.",5
PS5 slim Disc/Digital Console Replacement Protector Dust Cover Skin,"Barangnya sesuai pesanan, sudah di coba berfungsi baik.",5
"Nintendo Switch 2 Bonus Game Mario Kart World (FISIK) Singapore Set switch 2 Nintendo 2 Nintendo Switch2 Console Nintendo Switch 2 Nintendo 2 Switch 2 Switch2 NS2 NSW2  Layar 7.9"" 1080p & Dock 4K untuk Pengalaman Gaming Terbaik","Barang sampai tujuan dengan baik, adminnya ramah juga. Jadi recommended",5
PS5 Clair Obscur Expedition 33 Game RPG R3 English,"ok mantab masih segel, akhirnya punya game buatan indonesia",5
Dobe Cooling Fan For PS5 Console Cooling Fan TSP 3538,"gampang dipasang, mayan built in nya",5
Limited Warranty PSE Care+ / Garansi PSE PLUS 12 Month For Console Gaming,"barang telah diterima dengan Baik,thanks",5
